"MovieID","Title","ListOfGenres"
"1","Побег из Шоушенка","Драмы|Зарубежные|Экранизации"
"2","Главный герой","Комедии|Фантастика|Боевики"
"3","Легенда","Криминал|Триллеры|Драмы"
"4","Начать с нуля!","Комедии|Зарубежные"
"5","Терминал ","Мелодрамы|Комедии"
"6","Апокалипсис ","Исторические|Приключения|Триллеры"
"7","Приговоренные ","Боевики|Триллеры|Криминал"
"8","Пандемия ","Ужасы|Фантастика"
"9","Эпидемия","Ужасы|Фантастика"
"10","Голгофа ","Драмы|Зарубежные"
"11","Мистер Мерседес","Детективы|Триллеры|Зарубежные"
"12","Семейный бюджет","Комедии|Русские"
"13","Чиновник ","Комедии|Русские"
"14","Бабки ","Комедии|Драмы|Русские"
"15","Тесть-драйв","Комедии|Зарубежные"
"16","Только для взрослых","Комедии|"
"17","Круэлла ","Комедии|Криминал|Драмы"
"18","Купи меня","Драмы|Мелодрамы|Русские"
"19","Очень плохие девчонки","Триллеры|Комедии|Криминал"
"20","В активном поиске","Драмы|Мелодрамы|Комедии"
"21","Толстушки ","Комедии|Зарубежные"
"22","Как женить холостяка"," Мелодрамы|Комедии|Зарубежные"
"23","Тело ","Триллеры|Детективы|Криминал"
"24","Невидимый гость","Триллеры|Детективы|Криминал"
"25","Исчезнувшая","Триллеры|Драмы|Детективы"
